# this file contains all the bdt_cuts
# y_bins: 0-(0_1) 1-(1_3)
# cent_bins: 0-(0_10) 1-(10_30) 2-(30_50) 3-(50_90)
# pt_bins 0-(1_2) 1-(2_3) 2-(3_4) 3-(4_5) 4-(5_6) 5-(6_8) 6-(8_10) 7-(10_15) 8-(15_20)
#
#y_bin, cent_bin, pt_bin, cut_value 
0 0 0 0.4
0 0 1 0.4
0 0 2 0.4
0 0 3 0.45
0 0 4 0.4
0 0 5 0.3
0 0 6 0.3
0 0 7 0.25
0 0 8 0.2
0 0 9 -1.0
0 1 0 0.35
0 1 1 0.4
0 1 2 0.4
0 1 3 0.4
0 1 4 0.35
0 1 5 0.3
0 1 6 0.3
0 1 7 0.25
0 1 8 0.3
0 1 9 -1.0
0 2 0 0.35
0 2 1 0.35
0 2 2 0.35
0 2 3 0.35
0 2 4 0.35
0 2 5 0.3
0 2 6 0.25
0 2 7 0.2
0 2 8 0.15
0 2 9 -1.0
0 3 0 0.35
0 3 1 0.45
0 3 2 0.4
0 3 3 0.35
0 3 4 0.4
0 3 5 0.25 
0 3 6 0.3
0 3 7 0.55
0 3 8 0.7
0 3 9 -1.0
1 0 0 1.0 
1 0 1 1.0
1 0 2 0.4
1 0 3 0.45
1 0 4 0.45
1 0 5 0.4
1 0 6 0.35
1 0 7 0.4
1 0 8 0.35
1 0 9 -1.0
1 1 0 1.0 
1 1 1 0.45 
1 1 2 0.5
1 1 3 0.45
1 1 4 0.45
1 1 5 0.4 
1 1 6 0.4
1 1 7 0.4 
1 1 8 0.45
1 1 9 -1.0
1 2 0 0.4
1 2 1 0.35
1 2 2 0.5
1 2 3 0.5
1 2 4 0.5
1 2 5 0.35
1 2 6 0.4
1 2 7 0.5
1 2 8 0.65
1 2 9 -1.0
1 3 0 0.4
1 3 1 0.45
1 3 2 0.45
1 3 3 0.45
1 3 4 0.45
1 3 5 0.4
1 3 6 0.3
1 3 7 0.35
1 3 8 0.3
1 3 9 -1.0

